,아이디,댓글 내용
261,  최준혁,역주행하면 무조건 상위찍어야되냐 ㅋㅋ 다 몇십년전 노래인데 지금 중위권 드는거도 대단한거지
262,  김영근,두 그룹은 음원보다 이런 무대를 봐야해서 그런듯 저 리듬 타는 거랑 제스처 없으면 밋밋함
263,  나무,요즘 차트는 걍 돌판이라..
264,  GreatnGreat,10대 20대들의 스트리밍을 따라가기 힘들어서 일듯 합니다.
265,  jazz man,나 이거 솔직히 음원보다는 유튭에서 100번봄.....
266,  2019시즌K리그입문K리그직관이진리.,음원 꼭 사야됨?난 유튭으로 매일 듣는데...
267,  답글,인기많은데 음원순위 중위면 라이브가 ㅈㄴ좋단거지
268,  shown Lee,사 쿨럭쿨럭 재채쿨럭쿨럭 기이!?
269,  프리미엄,빅마마 네분이서 위대한쇼맨 this is me 불러주시면 그냥 그 무대 레전드
270,  Willy Kim,갓마마 보고 그동안 뻐기던 잡것들..개념들 챙겨라. 이게 진짜 가수란거다. 항상 겸손해라.
271,  uknapp,깝죽대지말고
272,  grey silver,어떤 쉐끼들이 감히 큰엄마 앞에서 뻐김?
273,  천찐반,주접은 싸지말고
274,  준희,코로나만 없으면 저 노래를 콘서트에서 듣는건데.... 코로나 끝나면 콘서트 한번 해줘요ㅜㅜㅜ
275,  JAE,They really be aging like extra fine wine 🖤
276,  이정준,90년대 감성이 돌고돌아 21년에도왔네 유행은돌고돈다 추억돋네
277,  IliliiIlliI,빅마마가 90년대엿나요???
278,  이정우,유행이 30년 반복한다는 이야기가 맞는듯
279,  규규,빅마마는 2003년도 데뷔
280,  닉네임,90년대는 아니고 2000년대 초반  감성 90년대는 좀 더 서정적 감성이고
281,  ey way,동요를 명품으로 만들어버리네..
282,  권인철,저는 이부분이 좋더라구요 11:53~12:16동요조차도 아카펠라로 바로 만들어 부르시는...
283,  심지,내 귀가 실시간으로 정화되는 느낌 누가 내 귀에 성수때려붓는다 어어
284,  TH¡RAH,여러분 이영상 보시고 꼭 딩고 킬링 보이스 빅마마편 봐주세용나만 반복재생의 늪에 빠질 순 없지 😏
285,  Yeonjung li,정말 역대급 어떤 그룹도 대체못해요. 국보급임요. 신곡도 너무 좋아요. 놀면 머하니. 고마워요. 다시한번 짜릿한 감동을 느꼈어요. 너므너므 감동이여요
286,  채서,12:13 이지영님 저음 예술이다
287,  동호,아 감정이 북받쳐올라서 욕이나옵니다아 존나잘부른다 진짜
288,  irenarily,이번 활동 때 여러 곳에서 라이브 들을 수 있어서 진심 행복해요! 해외에서도 이런 무대를 볼수 있어 너무 다행 ㅜㅜㅜㅜㅜ
289,  승주 SEUNG JOO,지영님  성량 완전 풍부  👍 👍 👍 👍
290,  형,까는 사람이 없네. 그치 귀가 있음 깔 수가 없지
291,  와이 하,이것저것 안따지고 모든 무대에서 즐기며 라이브하는 그 실력과 당당함이 빅마마의 매력인듯 하다
292,  Nubicum Wot blitz,이건 워우워우~ 도입부에서 '이게 교수다 애송이들아.' 하고 찢고 나온 거임 ㄹㅇ
293,  볼잉kim,Sg워너비 ms워너비 만든것처럼빅마마도 여자 발라더 모아서 한번가즈아!!!!!!!
294,  똥페뤼,와..... 몇 번을 듣는건지.... 이런게 가수지 ㅠㅠ
295,  권형준,이건 뭐  학생들이 아니라  현존 가수들도 기죽어 실력발휘 몬하겠구만 ㅎㅎㅎ어쩜이리 단단할까... 세월의 노련미가 더해지니 범접할수없는 경지까지 오르신듯 합니다 ㄷㄷㄷ
296,  파토난코치,나 이 방송 안보는데 하이라이트 아는가수 나오는거 말고는 ㅋ빅마마 나온대서 라이브로 첨봄
297,  Nあけみ,Legends!!!!!
298,  판다코기,아니 한명한명 실력이 개 말도 안되네...
299,  감성홍피디,"자신이 노래할 때 뿐만이 아니라, 코러스에도 최선을 다하는 유일한 그룹매일 들으며 감동하고 있습니다.감사합니다."
300,  coco choi,"뭐,, 완전체 우리언니들 실력은  두말하면입아프고 저리지만 ..지영언니 첫파트 ..특히 저음에 저 기교 진짜 어려운거임.. 아흐~~~!!!  언니들 계속 늙어죽을때까지 함께 활동해줘요 ♥ 사랑해요 내사랑빅마마님 !!"
301,  SC7,빅마마 노래는 처음부터 끝까지 소름파티네...
302,  Irma Montero,"Wow!!!Harmony is amazing,sooth to my ears!!!love Big Mama ❤️ Love Lee Young-Hyun,your music Resignation lead me to love Korean music even though I don’t understand the lyrics!!"
303,  ᄋᄋᄋᄋ,아니....음향도 별로 안좋은거 같은데..삑사리 한번은 날만하지 않나....
304,  에이프릴,찐 어나더 레벨. . 단순 파워가 아닌 그 파워를 정교하게 컨트롤하는 빅마마.레전드. .
305,  DDARA TV,연식 나오지만 시스터액트 뺨싸다구 후려친다 정말ㅋㅋㅋ 이거 아무도 못알아듣겠지?
306,  임승일,우피골드버그?ㅎㅎ
307,  Charlie,빅마마를 알면 씨스터액트도 거의 다 알 걸요.
308,  joonho hwang,11분20초 쌈디표정 일반인이 가수노래듣고 감탄하는..
309,  요플레 TV,11:20
310,  SangUng Bae,이영현님이 김세정으로 보인다..
311,  핸지,7:35 지영님은 확실히 폼이 더오르신듯.. 보컬괴물에서 신이되버림
312,  songjieun,요즘 나오시는 프로 다 찾아보는데 (그래 봤자 몇 개 안되더라구요 음악프로가 몇 개가 없어 ㅠㅠㅠ) 정말 더 깊어지고 여유있어지신 것도 너무 좋구요. 노래 실력은 당연히 말 안해요 .. 요즘 그리고 코디 분이 열일하시는 것 같아요. 각자의 특색에 맞게 너무 잘 입혀주셔서 다들 너무 아름다우셔요 .. ♥ 언니들 노래 오래 듣구싶으니까요 ㅠㅠ 저는 그 시절에도 뮤비 찾아본 사람이니까요 ㅠㅠㅠㅠ 제발 오래 해주시기 ㅠㅠㅠㅠ
313,  jerry K,이게 라이브라구요..???이번 신곡에서는 특히나 민혜님 목소리가너무 돋보이고 듣기좋네요ㅜㅜ
314,  Craig. H.,누님들 별로 안힘든데극적인 효과를 위해 힘든척 하는거 다압니다노래 개 잘부르십니다
315,  공리나,YG에서 빅마마 거미 휘성 키울때만해도 양현석이 음악에 대한 열정이 있었던거같은데.. 어쩌다 돈맛을봐서 약만빨고 앉았는지... 실력파 가수 키워줄 소속사 많이 생겼으면 좋겠다
316,  얍얍헐랭,누가 보면 오버 떨지 말라고 할지도 모르지만 진짜 최고의 그룹이다..
317,  John Lee,이 정도면 대한민국 국가대표 보컬그룹 원탑임!!
318,  쑥쑥,아니 진짜 교수님들 볼때마다 느끼는건데 실력은 걍 기본 천상계고......  코디진짜 미친거 아니냐고...!!! 진짜 하나도 안촌스럽고 진짜 잘한코디 같음 딩고때도 그렇고.. 몇년전 코디도 미침... 갓임 갓갓갓....분위기가 진짜 어디 사교모임에 나온 사회에서 한딱까리하는 부잣집딸들 같음......
319,  파토난코치,부잣집 엄마겠죠 딸들이라고 하기엔 막내 누나도 40대니
320,  신팀장,데뷔때도 사기였는데 어떻게된게 넷 다 지금 기량이 더 상승했는지 진짜 말도안된다... 세계로 수출하고싶다 진짜
321,  R Lee,진짜 전무후무한 교수돌이다 ㅋㅋㅋㅋㅋㅋ솔직히 대한민국 말고 전세계에 저런 교수돌 없지 않을까? 레알 국보급 아니냐 ㅋㅋㅋㅋㅋㅋ
322,  누너누너,교수돌 ㅋㅋㅋ
323,  케시움마케힘,수준 미쳤음..이거는 진짜  숙성이  엄청 잘된 와인같은 그런 맛
324,  베노자,얘들아  이게 A+이란다. 알았지?
325,  Namseok Bang,학생 : 교수님 전 왜 C인가요? 납득이 안되요교수 : 이 영상 틀어줌학생 : 아 네.
326,  caleb choi,"이분들 보면 아델, 셀린디온, 머라이어, 토니 블랙스톤이 화음 그룹 으로 노래하는것 같음"
327,  오상케,6:10 학과장님 포스 ㄷㄷ
328,  구독자,제자님들 보고계십니까이분들이  바로 빅마마입니다.
329,  배우,3:32 지영누나 마이크잡은 손목에 누가 낙서해놧어
330,  권구너,화장품 테스트 한건가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
331,  개좋같은분석,단발좌 진짜 지린다ㅠㅠㅠㅠㅠ
332,  Minah La,Luvvvvvv big mama sm💕💕 jaesuk and his wig🤣🤣
333,  주말엔영화,"이분들 노래를 뭐라고 하겠어요..그냥 할말이 없는데...그와중에 지영님 저음 정말 대박이네요. 진짜 중창이란 이런거다, 화음이란 이런거다의 교과서인듯."
334,  Wooru우루,보컬대학재즈 학과장님소울 학과장님성량 학과장님음색 학과장님컨퍼런스 무대 입니다
335,  왑,"크으…….. 여자랑  이졀그후도……..해주시지ㅜㅜㅜㅜㅜㅜ킬링보이스거 이백번정도 봐서 이제 질린,ㄴ데 흑흑"
336,  zzang me,저 남정네들이 너무 부럽다…..바로 옆에서 보고 듣고 즐기다니…. 진짜 정말 지대 부럽다.
337,  박레아,9년동안 못들은 빅마마 목소리 요즘 자주 들어서 너무 좋다
338,  민슐랭,거미가 뭔 줄을 이리 우아하게 타고 내려오는지...ㄷㄷ
339,  ᄋᄋ,와 진짜 이지영님 음색은 신이내리셨다… 독보적이다 진심
340,  전학범,야근하면서 보다가 눈물을 훔쳤네요어우 너무 좋아서 듣는데 눈이 자꾸 풀렸어요 ㅠㅠ사랑합니다 빅마마❤️‍🔥
341,  천찐반,신연아님 도입부터 심장 떨리게 하는 보컬컬러는 가수 이소라님이랑 결이 같네...탑클래스
342,  T,ㄹㅇ 이렇게 노래 잘 부르면 자 자신한테 뭘 느낄까…
343,  sion colli,11:14 도대체 소리가 어디까지 밑에서 나오는거임.. ㅋㅋㅋㅋ진짜ㅁㅊ
344,  깅지,우연히 빅마마 - never mind 란 노래를 접했는데 많은 위로를 받았네요 추천드려봅니다
345,  빈빈,"여자,배반도 불러주지 ㅠㅠㅠㅠㅠ"
346,  임선민,목소리가 정말 제일 좋은 악기라는걸 실감하게 하는 그룹이다…..
347,  잔파,"12:11 왜 여기 아무도 말이 없어요?! 이지영님 저음 뚝떨어지는거 봐 진짜 와 매력 뭐야,,,즉석 화음임에도 불구하고 순간적으로 풍부한 느낌을 주는 저음,,,저 저음이 뚝 하고 떨어질때 볼 쪽을 보시면 순간 깊어지는걸 보실 수 있습니다."
348,  임정현,영현님 라이브 영상보면 듣는 관객들 거의다 입틀어막고 끝날때까지 사색이 돼있음삘 받으면 무대 다 뿌수는 천상계 보컬 갓영현👍👍
349,  seon lee,2:17
350,  헤이리마을멍멍이타코,그동안 살로 정체를 숨기고 살아가던 꼬북좌의 조상이 이영현으로 밝혀짐.9년만에 정체가 탄로나자 다시 빅마마로 컴백하여 대놓고 지구를 정복함.
351,  구르구르,11:32 영현언니 하이라이트! 노래는 두말할것도 없고 표현력에 더 매료됨... 진짜 최고
352,  럽메론,빅씨 가문의 어머니 정말 대단하다
353,  이정우,이지영닝 목소리 너무 매력적이다😍😍
354,  우유,전세계 어떤 그룹이라도 20년전의 노래를 불라 보라고 해봐라 이정도가 되는지 4인조여그룹에서는 전세게 원탑일듯..내가 실제로 다 찾아봤는데 있긴있지만 실력이 현저히 떨어짐... 빅마마는 전세계 4인조 여성보컬 원탑일듯
355,  캬하하,다시 보니까 신연아님이 화음 넣어줄 때마다 듣기가 확 편안해지네.. 괜히 코러스 짱이 아니셨구나
356,  쏘큩,박민혜님 목소리 어떻게 아직도 저렇게 맑지... 대단...
357,  지여니써니,놀면 뭐하니 잘 안봤는데 빅마마 나오는거 보고 넋놓고 보다가 여기까지 찾아 들어왔네요.TV에서 자주 볼 수 있었으면 좋겠어요!!
358,  A BCD,저시대의 가수들이 다 노래를 잘하지만 빅마마 버블 시스터즈 는 진짜 넘사벽엿지
359,  켈록,애들이랑 술마시러 왔는데 졸라 고퀄로 노신다는 소문의 교수님들 회식하는 장면 목격한 느낌 일어나서 두손 가슴앞애 모으고 들어야 할 거 같은 느낌
360,  Sharon go,"이지영 보컬 진짜 미쳣다,,,, 한국 소울이 아니심 ㅜㅜ"
361,  윤희원,와... 박민혜 진짜 깔끔함 그 자체다.. 음색 끝음처리 너무 좋다❤
362,  케이,빅마마 크리스마스앨범 안들어보신분 꼭 들어보세요. 진짜좋아요~10년 넘게 겨울이면 이것만 들어요
363,  Being a Coy,영현좌 포지션 벨터(고음셔틀)에서 지금은 미모담당(?)까지 추가되었음 ㅋㅋ
364,  짤랑이,이지영은 목소리도 섹시한데 제스쳐랑 살랑살랑 춤추는 게 진짜 섹시한듯 바이브가 독보적
365,  T. H.Q,누나들 완전 날아다니네 ㄷㄷ
366,  1 2345,학생들 : 교수님들.... 이렇게 해야 A+인가요...
367,  한글최고,그러면 학생들이 너무 힘들듯 ㅜㅜ
368,  Alice,한치의 오차도 없는 AI급 하모니
369,  라시얀,인간은 오차가 없는데 음향상태가 ㅈㄴ 구져;;
370,  ᄌᄋᄌ,음색이 어쩜 이렇게 다 다다르게 쩔지ㅠㅠㅠㅠ신연아님 너무너무좋아
371,  Melodia,"감성쩌는 메보옆에, 소울쩌는 메보옆에, 고음쩌는 메보옆에, 가왕메보.... 근데 메보 넷이 화음 맞추면 다 기절......."
372,  안철진,"K교수이며, K-엄마..네 분의 자녀분중 잔소리가 필요할 때우르르 몰려가서 화음으로 잔소리하면절대 못흘려들을듯"
373,  Bryan Kim,유재석의 예능 돌려막기는 정말 대박인거 같아유퀴즈에 나온 사람 놀면뭐하니에서 써먹고놀면뭐하니에 나와서 다시 유퀴즈로 써먹고이런 돌려막기는 적극 추천합니다~~!!! 너무 좋은 돌려막기야~~~
374,  워니얌WonnieYum,7:02 멋지고 예쁜장면 ㅠㅠㅠ 😭
375,  Hyeongseok OH,과장 안보태고 너무 좋아 눈물날거 같아. 제발 콘서트 열어주세요
376,  dkwhks kin,"10:32 kcm""진짜 잘한다"""
377,  A.D,역시 그 교수님에 그 제자… 신연아 교수님 제자가 김재환….
378,  나를 찾아서,음반보다 라이브가 더 좋은 그룹이 몇이나 될까? 대박임
379,  제로섬,뭔 같은노래를 몇번을 들었는데 계속 소름이돋네
380,  호두지,볼때마다 느끼지만 말도 안되는 네명이 모였음ㅋㅋㅋㅋㅋㅋ 진짜 이번에 컴백하시고 나온 모든 방송 닳도록 보고있다.. 무대 하나도 한명한명 다 집중해서보고 같이 보고해야하니까 적어도 5번은 봐야함 ㅠㅠ
381,  신재욱,영현이 누나한테서 세정이가 보이네
382,  ki Ki,이영현언니 얼굴에서 나 왜자꾸 엠마스톤이 보이는거지..
383,  실실,이 영상은 진짜 세계적으로 퍼졌으면 좋겠다🙏🏻 진정한 Korean Soul
384,  로코퀸서현진조녜로와,어느 동네 거미가 저렇게 감미롭게 왔다가냐😭 빅마마체고
385,  LA SARTO,이영현님 살빠지니 김세정이보여요
386,  N Sruthi,빅마마가 마마무의 갓마더인 줄 알았는데 50대 마마무를 상상하면 눈물이 난다. 행복하고 건강하세요 - 많은 사랑을 받고 있는 무무 동료들 💕💕
387,  현진,10:56 여기서부터❤
388,  Jinee JJu,어이가 없어서 웃음만ㅋㅋㅋㅋ 진짜 미쳤다ㅏㅏㅏ 2021년에 빅마마 노래를 들을줄이야...와ㅏㅏ...할말이 없음ㅋㅋㅋㅋㅋ
389,  별지구,김세정님이 이영현님 닮았구나
390,  김영은,신연아님 매력 너무 많으세요 목소리 너무 중독성이 강하세요ㅎㅎ 오래 듣고싶습니다!
391,  bambi,개취적으로는 박민혜씨 목소리가 너무 맑고 힘있네요
392,  mmjj C,영현씨랑 같이 학교 다녔어요 !!~~ 나이로는 친구인데 정말...  범접 불가네요~~~^^♡학교 다닐때 수수하고 착하고 조용하고  실력자 였어요!!!   ~~~~ 넘 넘 자랑스럽고 멋지다!!~~~빅마마 모두 응원해욧!!!~~~♡♡♡  교수님들   최고!♡♡♡
393,  김승환,4명이 다 메인보컬인 아카펠라 그룹
394,  ᄋᄋ,아니 지영님 진짜 사랑해요…
395,  seon lee,11:53 미쳤어 가사모르고 들으면  레알 성스러움... 성당같은데서 나올법한 가스펠느낌...헐랭
396,  우주하마,잘 숙성된 묵직한 레드와인같네..
397,  se hor,빅마마 공연하는걸로 보이싱분석이랑 보컬수업해도 고퀄임아카펠라를 이루어 공연하는애들 특징이개개인이 본인이 잘한다는걸 뽐내고싶어한다는거임그러는순간망하는건데 공연하기전에 보여주기좋은예임 빅마마는
398,  소울아비,우리만 듣기 너무 아깝다..
399,  Youtube Premium Account,교수직 해임해서 음악활동 더 열심히 하게 만들고싶다
400,  groove 48,방학기간에만 활동해줘도 감사합니다ㅠ
401,  dain Lee,ㅋㅋㅋㅋㅋㅋㅋㅋ
402,  Hyeongseok OH,동참합니다!!! 코로나 끝나면 다 해임하자! 방송활동과 콘서트만 하자!
403,  도미,교수님 제가 잘못했어요... 제발 노래로 혼은 내지말아주세요...
404,  리클레버,11:37 이영현 초고음을 집어삼키는 듯한 안정감
405,  서현 이,진짜.. 깔끔하다.......
406,  야호기분딱조타,11:55 야 햇님유치원 19학번들 잘들어라잉 올해 학예회에서 이정도는 불러놓도록! 이상 .
407,  큐우,지영언니 “소리’ 부를때 진짜 더 예술인데 오늘 이영상에서도 찢었네요… ❤️
408,  하리보쩰리,세계 가스펠 대회가 있다면 남자 그룹은 브아솔 여자 그룹은 빅마마 이렇게 두 팀이 국가 대표라고 생각함
409,  a_pale_blue dot,이 분들을 가수 가창력의 기준으로 삼는다면 과연 몇 명이나 살아남을까.
410,  thewholeworld,진짜 어지간한 그룹보다 옷 잘힘
411,  v_v,코디열일!! 색맞춰서 고급지게 코디잘함 무대보면서 귀호강에 눈호강까지💫
412,  박건자,15년만에 듣는 목소리입니다..잊고살았던게 후회될정도내요 하루만 더 듣다가 저도 모르게 눈물이 났습니다.
413,  ᄋᄂᄋ,거미가 줄을 타고 올라갑니다가 이렇게 우아한 노래였어?
414,  이프로,화음이환상적이네.. ㅎㄷㄷ청각호강은 이럴때하는건가..
415,  MAREUN,단발좌 웃을때마다 심쿵 ㅋㅋ
416,  박용석,음악 전문 방송도 아닌데 여러팀 음향 맞추려면 어렵기도 하겠지만 너무 아쉽다.근데 또 좋고 그러네 참....
417,  네이쳐캠,11:46 후배들 반성모드
418,  권준성,빅마마 한단어로 정리 쌉가능
419,  써니팁스 Sunny Tips TV,출근 전 후회없는 선택!!😍😍저와같으신분은 손!!😉
420,  장지영,이지영님 첨봤을때부터 원픽♡ 더 깊어지신듯사..사랑합니다♡
421,  아빠꼬마,원곡보다 이지영님 목소리는 라이브가 더 좋네요~~몇번을 봤는지 기억도...노래할때 입모양도 예쁘시네요^ ^
422,  김민수,젊은친구들이 이노래도 좋아했음 좋겠다ᆢ강요 아니에요 ^^이들은 보컬로 전설인데ᆢ목소리가 성숙해 온듯ᆢ
423,  채락빈,너무 좋긴한데..놀면 뭐하니 ? 음악 프로듀싱만 하나요??  맨날 음악관련 에피소드 밖에 없네요..
424,  박건우,교수님들 초청강연인가요ㅋㅋ
425,  썬's life,완벽해ㅠㅠ지영언니 음색돌아버려
426,  펭러뷰,빅마마는 보존해야. 국보보컬그륩
427,  Mr. Pilot,Omg! i love the harmonize at 11:50 😍This is Bigmama!
428,  Rarara Ra,거미가 줄을타고 천국을 왔다갔다 하나보네
429,  율무,이지영님 진짜 보컬 멋있다...... 간지작살인디
430,  BLUEWINGS SUWON,교수님들이 학생들이 조별과제 하는거 보고 답답해서 몸소 조별과제는 이렇게 하는거라며 몸소 보여주려 친히 납시셨습니다
431,  Rini Silaen,what a luxury hearing they sang live. singers like these goddess musicality are rare in Asia.
432,  Stefan W,"Unfortunately you’re wrong. S Korea is blessed with a huge number of real great singers. In fact there are so many of them, that almost all of them are struggling for recognition / stay in business .These are real sad stories. I see my fav female singer struggling for a decade now, but she still tries. Big Mama are well known for their talent but compared to KPop star groups they weren’t successful. In KPop of today vocal skill unfortunately is less important than ever. KPop Industrie mainly is for kiddies & teens, dancing and being cool the top priority. But people still want this „real“ (melodious) music, as you can see by the success of shows like this with Big Mama, SG Wannabe, V.O.S and even LaBoum, who are exceptional themselves and one of the last girl groups in beloved 2nd-3rd generation style.I guess I’m getting old …"
433,  대머리독수리,7:39 흑인아니냥
434,  Roy,"노래 듣는 내내 숨막히며 찡그리다, 다 끝나고 나서야 비로소 웃으며 박수칠수 있는 팀."
435,  우린자유대한,이지영님 음색은 정말 국보급인것 같아요
436,  동그라미_,와 진짜 너무 멋있다 이 말만 나옴
437,  Monique,빅마마 완전체라니 소중하고 감사합니다명불허전!!!!
438,  아이고,이지영님 저음 진짜 멋있다..
439,  곽효성,10:49 애드립 부분 진짜 미치겠네;;
440,  독설,지영누나 진짜 ㅈㄴ 섹시하다
441,  이주오,잠시빅마마 4명의 공연을 보고 눈이 멀어 귀로 듣다가 아..라이브구나...다시 영상보다 눈이 멀었습니다.. 코로나 끝이나면 어떤 콘서트를 가겠냐 하면 두말없이 빅마마 1순위입니다..감사합니다...노래로 힐링해주셔서 ㅡ..ㅜ
442,  bb ahn,솔로로 노래 잘하는 가수는 많음 근데 그룹 화음 쌓아서 노래 잘하는 가수들은 2000년대 초가 전성기라고 생각 됨그중에서도  탑 그룹이 빅마마  진짜 멋진 노래 감사합니다
443,  박소현,연아신 정말 목소리 고급 그 자체누가 내 귀에 비단깔아놨어...이거지...이게 행복이지
444,  김다현,예전엔 이영현밖에 몰랐는데 이지영님 저음 뭐냐;; 동굴저음 말이안되네
445,  10연두,교수님들 클라스가 달라요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
446,  luv ps,한국의 드림걸즈. 노래중에 진행자들 추임새 소리 안들어가서 더 좋네.
447,  다다니,막내 민혜...목소리는 막내다운깔끔함고 시원한 목소리.. 한개도 안높아 보이게 부르는게 미쳤ㅇㅓ요..
448,  안방마님,영현이누님 제스처 하나하나에 오금이G려버렸습니다...
449,  sun갱이,화음완벽히 맞추고행복해하는게 킬포임ㅋㅋㄲ교수님들 진짜 기분좋아보임
450,  3 3,"어떻게 매 곡 마다 신선한 전율이 감도는지,,,"
451,  이몽글마미,빅마마랑 브라운 아이드 소울이랑 같이 음반제작했으면 좋겠어요! 완전 대박날듯!
452,  미니,저는 민혜씨 목소리가 넘 좋아요 ㅠㅠ 출근길 귀호강하고 갑니다 ㅜㅜ 사랑해요~
453,  유린,빅마마 진짜 개미쳤어요… 진짜 화음부터 음색 진짜 최고의 여성 보컬 그룹..
454,  황금바늘,이지영 음색 미쳤다
455,  토트닭,ㄹㅇ 이영현을 능가하는 사람이잇네
456,  동동,여자도 모아서 그룹 만들어주세요~~ 유야호~~~
457,  F00_Space,코로나끝나고 콘서트해주세요 진짜꼭가요.
458,  재재,진짜 대박이에요ㅠㅠ 이번 신곡도 너무 좋고
459,  별이,아 진짜 계속 활동해주시면 안대나요 ㅠㅠ 너무 음색 매력 다 좋으셔서 맨낼 출퇴근때 맨날 빅마마 노래 듣는데
460,  doseph,아무나 커버할 수 없는 탑클래스 교수돌 곡
461,  김진경,영현언니한테 김세정양이 자꾸  보이네요.....아니지 김세정양이 나이들면 영현언니가 보이려나????
462,  SM J,아니...거미가 우아하게 줄타나....
463,  Thanvika NJ,Beautiful voice.Queens of vocal
464,  박정선,여기서 그윽그윽 목소리ㅜ누군가여ㅜㅠㅠ
465,  mae Ju,매일이 레전드인 누나들. ❤️ 국보그룹임. 매일 너무 최고치를 보여주니까 혹여나 본인들이 너무 부담 되는 건 아닐까 걱정도 되네요 ㅜ 지금처럼 세상 기준과 시간에 따라가지 마시고 서로 시간과 뜻이 맞을때 이렇게 나와주셔도 감사할 따름입니다. 항상 하고싶은 음악 하셨으면 좋겠어요!!
466,  늙은이,저 교수분들한테 a등급 맞을려면 가능성 낮겟당 ㄷ
467,  이대팔,근데 뭔가 마이크 세팅이 밸런스가 안맞는거 같아요.. 리허설없이 바로 무대했었나... 신연아님은 마이크볼륨이 너무 높고 이지영님은 볼륨이 너무 낮게 세팅이 되었어요~~ 중창단이라 밸런스가 중요한데 그 부분이 아쉽.. 더 좋은무대가 될 수도 있었는데
468,  Apple Red,이지영님 목소리 진짜 완전 섹시
469,  존버리안,코시국 끝나면 콘서트 진짜 가고싶다 꼭해주세야
470,  Namseok Bang,축구로 비유하면 이브라히모비치 4명이 골대 때려부실라고 달려드는 느낌..ㅋㅋㅋㅋㅋㅋㅋ 메인.서포트가 없어 그냥 닥공ㅋㅋㅋㅋ
471,  옹전,고음도 진짜 매력적이신데 저음 부분이 진짜 어떻게 그렇게 매력적이실까들….뮤지컬 보는 기분
472,  H.O KIM,음원보단 라이브가 더 좋은진정한 가수^^
473,  aba 4647,저분들이 우리과 교수님이시면 어깨 바로 디귿자임
474,  이태건,대박이에요♡♡♡소름::))) 싫어요 누른사람은 이해가안되내요ㅋㅋㅋㅋ 최고에요♡♡♡
475,  도광양회,귀 청소하고 갑니다.
476,  HJ Park,와 이분들 모여 라이브하는걸 다시 듣다니 감사합니다. 진짜 한국가요 리빙레전드중 하난데
477,  선지,예전에 이 노래에 빠져  술마시고 노래방 애창곡이였는데ㅋㅋ ...여전히 멋지네요 ㅎㅎ
478,  알벗,대체 어떻게 모은거지? ㄷㄷ
479,  죠크박,누님들 지립니다 ㅠㅠ
480,  흰둥이,진짜 미쳤다... 카메라도 너무 잘잡아서 행복하네요
481,  Richard.D.W,"""A+ 나와도 재수강해야할 수업"""
482,  김은수,이지영님 중저음보이스 너무 좋다..
483,  yumyum yumyum,새 곡 너무 좋다..... ㅠㅠ
484,  백수TV,정말 목소리가 이리 섹시 할수가 있을까요? 전세계에서 이런그룹이 잇나요?
485,  Cafe Sad,이지영님 목소리 너무 매력 있습니다. 들으면 들을수록 또 듣고 싶네요.
486,  the who,빅마마 X 브아솔 기원합니다.. 내가 환갑 전까지..제바르..ㅜㅜㅜㅜㅜ한번만~~~
487,  방승찬,이영현님 웃을때마다 갓세정 닮았다
488,  유인영,쌈디 ㅋㅋ 이날 순심이 같음 ㅋ
489,  시라소니,이지영 진짜 소름끼친다
490,  Joe Joey,예전보다 지금의 빅마마가 더 좋다.
491,  박민선,와...이지영님! 목소리가... 훨씬 더 깊어 지셨네요..꾸벅!
492,  김주현,음향 중간 중간 왤케 뒤집어지냐?.. 리액션 넣으려고 해서 그런 것 같긴 한데 🤔
493,  용갈로그-영주테라피펜션,여러분들은 지금 교수님들의 학술대회른 보고계십니다ㅎㅎㅎㅎ
494,  hello hi,"빅마마, SG워너비, VOS, 먼데이키즈 .... 또 추억의 그룹 누가 있죠??....... + (디셈버, 가비엔제이, 바이브, 엠투엠, 다비치, 씨야, 플라이투더스카이, 에이트, 버블시스터즈, 노을, 블랙펄, 애즈원)"
495,  SSONG찬,전 버블시스터즈 요 ㅠ
496,  DH David,"바이브,엠투엠도요 ㅋㅋ"
497,  승현,씨야
498,  승현,가비앤제이
499,  동민김,가비엔제이 해바라기 못참지
500,  Jinny world,디셈버도요!
501,  SSONG찬, @승현  가비엔제이미쳤냐고 ㅠㅠ 연애소설 미쳤냐ㅠㅠㅠ
502,  Daniel Hong,다비치
503,  박제티," @SSONG찬  버블시스터즈 애원,하늘에서 남자들이 비처럼 내려와 등등 명곡많죠ㅠㅠ뭘아시네 이분"
504,  SSONG찬, @박제티  진짜 좋아하던 그룹이에요ㅠ바보처럼 도 있죠ㅠㅠ
505,  영훈,7:23 창모 귀여버 ㅠㅠ😍😍
506,  강동현,ㅋㅋㅋㅋ매일 들어옴
507,  Orca,이분들이 하면 클레오파트라게임으로도 명곡이 나오겠지...?
508,  태종퐁,본방보고 이지영님 목소리에 치여서 다시 보러왔습니다ㅠㅠㅠㅠㅠㅠㅠㅠ
509,  담화린,"아...소리라는 노래 듣고싶었는데,. .아쉽다...소리 숨은 진짜명곡인데"
510,  miniop91,딩고 ㄱㄱ
511,  막타꾼,5분전은 못참지~~
512,  저스틴수달,대박이다진짜 소오름 닭살
